Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777164786,50,,Aggregated,38.500000,5.900000,3,3,3,4,4,11,38,72,220,390,390,7464,1280,3,5.522457368625478,1.5513999969698489,393.1696999934502,768.583065380493
1777164787,50,,Aggregated,39.400000,5.700000,3,3,3,4,4,11,38,72,220,390,390,7500,1286,3,5.50914599992102,1.5513999969698489,393.1696999934502,768.6002666666667
1777164788,50,,Aggregated,39.600000,5.900000,3,3,3,4,4,11,37,71,220,390,390,7539,1293,3,5.495075474122511,1.5513999969698489,393.1696999934502,768.5694389176283
1777164789,50,,Aggregated,38.800000,6.000000,3,3,3,4,4,11,37,71,220,390,390,7579,1304,3,5.485346285705674,1.5513999969698489,393.1696999934502,768.1636099749308
1777164790,50,,Aggregated,38.600000,6.200000,3,3,3,4,4,11,37,70,220,390,390,7624,1311,3,5.469041828357516,1.5513999969698489,393.1696999934502,768.2359653725078
1777164791,50,,Aggregated,39.300000,6.100000,3,3,3,4,4,11,37,70,220,390,390,7656,1314,3,5.4583096394193165,1.5513999969698489,393.1696999934502,768.4788401253918
1777164792,50,,Aggregated,39.500000,6.600000,3,3,3,4,4,11,36,70,220,390,390,7702,1324,3,5.449128628832244,1.5513999969698489,393.1696999934502,768.2757725266165
1777164793,50,,Aggregated,38.800000,6.300000,3,3,3,4,4,11,36,70,220,390,390,7740,1333,3,5.435588824178739,1.5513999969698489,393.1696999934502,768.0388888888889
1777164794,50,,Aggregated,39.500000,6.000000,3,3,3,4,4,11,36,70,220,390,390,7778,1340,3,5.4241329389460855,1.5513999969698489,393.1696999934502,767.9953715608126
1777164795,50,,Aggregated,39.600000,6.500000,3,3,3,4,4,11,36,70,220,390,390,7814,1345,3,5.412462426296095,1.5513999969698489,393.1696999934502,768.1096749424111
1777164796,50,,Aggregated,39.600000,7.300000,3,3,3,4,4,11,36,70,220,390,390,7852,1350,3,5.399998790004563,1.5513999969698489,393.1696999934502,768.2554763117677
1777164797,50,,Aggregated,38.900000,7.200000,3,3,3,4,4,11,36,70,220,390,390,7899,1360,3,5.384056969125867,1.5513999969698489,393.1696999934502,768.0749461957209
1777164798,50,,Aggregated,38.400000,6.900000,3,3,3,4,4,11,36,69,220,390,390,7932,1364,3,5.373507349856857,1.5513999969698489,393.1696999934502,768.2324760463944
1777164799,50,,Aggregated,39.300000,7.300000,3,3,3,4,4,10,36,69,220,390,390,7972,1374,3,5.3595344078157785,1.5513999969698489,393.1696999934502,767.9415454089312
1777164800,50,,Aggregated,39.400000,7.100000,3,3,3,4,4,10,34,69,210,390,390,8015,1384,3,5.344955208869645,1.5513999969698489,393.1696999934502,767.7015595757954
1777164801,50,,Aggregated,39.100000,7.200000,3,3,3,4,4,10,34,69,210,390,390,8052,1392,3,5.333362332226654,1.5513999969698489,393.1696999934502,767.5529061102832
1777164802,50,,Aggregated,39.000000,6.900000,3,3,3,4,4,10,34,69,210,390,390,8095,1396,3,5.320362174076559,1.5513999969698489,393.1696999934502,767.8680667078444
1777164803,50,,Aggregated,39.100000,7.500000,3,3,3,4,4,10,34,68,210,390,390,8137,1404,3,5.3064185325185935,1.5513999969698489,393.1696999934502,767.7989430994224
1777164804,50,,Aggregated,38.700000,7.700000,3,3,3,4,4,10,34,68,210,390,390,8178,1409,3,5.293952347668735,1.5513999969698489,393.1696999934502,767.9874052335534
1777164805,50,,Aggregated,39.200000,7.400000,3,3,3,4,4,10,34,68,210,390,390,8219,1413,3,5.281276055396091,1.5513999969698489,393.1696999934502,768.2643873950602
1777164806,50,,Aggregated,40.300000,6.800000,3,3,3,4,4,10,34,68,210,390,390,8257,1418,3,5.271157829639657,1.5513999969698489,393.1696999934502,768.4023252997457
1777164807,50,,Aggregated,39.900000,6.700000,3,3,3,4,4,10,34,68,210,390,390,8300,1422,3,5.262655373399724,1.5513999969698489,393.1696999934502,768.7053012048193
1777164808,50,,Aggregated,40.200000,6.800000,3,3,3,4,4,10,33,67,210,390,390,8341,1432,3,5.250921184412425,1.5513999969698489,393.1696999934502,768.4402349838149
1777164809,50,,Aggregated,39.900000,6.400000,3,3,3,4,4,10,33,67,210,390,390,8387,1440,3,5.236233885680965,1.5513999969698489,393.1696999934502,768.4311434362704
1777164810,52,,Aggregated,39.800000,6.500000,3,3,3,4,4,10,33,67,210,390,390,8433,1449,3,5.226078406163488,1.5513999969698489,393.1696999934502,768.3340448239061
1777164811,54,,Aggregated,40.200000,6.600000,3,3,3,4,4,10,32,67,210,390,390,8472,1455,3,5.219611709066976,1.5513999969698489,393.1696999934502,768.3955382436261
1777164812,56,,Aggregated,41.000000,6.600000,3,3,3,4,4,10,32,66,210,390,390,8520,1464,3,5.209810398956963,1.5513999969698489,393.1696999934502,768.3295774647887
1777164813,58,,Aggregated,41.400000,6.300000,3,3,3,4,4,10,32,66,210,390,390,8573,1472,3,5.203666954299288,1.5513999969698489,393.1696999934502,768.4255219876356
1777164814,60,,Aggregated,41.900000,6.000000,3,3,3,4,4,10,32,65,210,390,390,8618,1480,3,5.193564075094971,1.5513999969698489,393.1696999934502,768.4019494082154
1777164815,62,,Aggregated,42.100000,6.500000,3,3,3,4,4,10,33,65,210,390,390,8670,1491,3,5.200494498165106,1.5513999969698489,393.1696999934502,768.2245674740484
1777164816,64,,Aggregated,42.400000,6.800000,3,3,3,4,4,10,33,65,210,390,390,8717,1497,3,5.190044350009055,1.5513999969698489,393.1696999934502,768.4020878742687
1777164817,66,,Aggregated,43.800000,7.300000,3,3,3,4,4,10,32,65,210,390,390,8763,1505,3,5.179545726237147,1.5513999969698489,393.1696999934502,768.3935866712313
1777164818,68,,Aggregated,45.000000,7.700000,3,3,3,4,4,10,32,65,210,390,390,8827,1509,3,5.170007023788215,1.5513999969698489,393.1696999934502,768.982100373853
1777164819,70,,Aggregated,46.100000,8.200000,3,3,3,4,4,10,32,65,210,390,390,8881,1517,3,5.156983222482005,1.5513999969698489,393.1696999934502,769.0851255489247
1777164820,70,,Aggregated,47.400000,7.800000,3,3,3,4,4,10,32,64,210,390,390,8937,1523,3,5.141950352333654,1.5513999969698489,393.1696999934502,769.3815598075416
1777164821,70,,Aggregated,48.500000,7.500000,3,3,3,4,4,10,31,64,210,390,390,8994,1535,3,5.126708538884317,1.5513999969698489,393.1696999934502,769.1926840115633
1777164822,70,,Aggregated,49.900000,7.500000,3,3,3,4,4,10,31,64,200,390,390,9044,1544,3,5.117562781813526,1.2986000219825655,393.1696999934502,769.1543564794339
1777164823,70,,Aggregated,51.500000,7.800000,3,3,3,4,4,10,31,63,200,390,390,9107,1562,3,5.101065850297598,1.2986000219825655,393.1696999934502,768.5633029537718
1777164824,70,,Aggregated,51.800000,8.300000,3,3,3,4,4,10,31,63,200,390,390,9162,1571,3,5.090048384487376,1.2986000219825655,393.1696999934502,768.5984501200611
1777164825,70,,Aggregated,53.500000,8.500000,3,3,3,4,4,10,30,62,200,390,390,9221,1579,3,5.076955785554598,1.2986000219825655,393.1696999934502,768.7690055308535
1777164826,70,,Aggregated,53.800000,9.000000,3,3,3,4,4,10,30,62,200,390,390,9273,1587,3,5.063825644199231,1.2986000219825655,393.1696999934502,768.841475250728
1777164827,70,,Aggregated,54.500000,9.100000,3,3,3,4,4,9,30,62,200,390,390,9326,1597,3,5.052168174855658,1.2986000219825655,393.1696999934502,768.7674244048895
1777164828,70,,Aggregated,55.300000,9.000000,3,3,3,4,4,10,31,62,200,390,390,9382,1603,3,5.07437342771793,1.2986000219825655,393.1696999934502,769.0516947345982
1777164829,70,,Aggregated,55.400000,8.900000,3,3,3,4,4,10,31,62,200,390,390,9435,1613,3,5.064416714238421,1.2986000219825655,393.1696999934502,768.9773184949655
1777164830,70,,Aggregated,55.100000,9.300000,3,3,3,4,4,10,31,62,200,390,390,9491,1627,3,5.058806732566744,1.2986000219825655,393.1696999934502,768.6308081340217
1777164831,70,,Aggregated,56.200000,9.500000,3,3,3,4,4,10,32,64,200,390,390,9549,1637,3,5.123524840169127,1.2986000219825655,393.1696999934502,768.6263483087234
1777164832,70,,Aggregated,55.200000,9.800000,3,3,3,4,4,10,33,65,200,390,390,9610,1649,3,5.17946417261684,1.2986000219825655,393.1696999934502,768.507075962539
1777164833,70,,Aggregated,54.800000,10.300000,3,3,3,4,4,10,33,65,200,390,390,9663,1658,3,5.174320635280299,1.2986000219825655,393.1696999934502,768.5143330228707
1777164834,70,,Aggregated,55.800000,10.300000,3,3,3,4,4,10,33,65,200,390,390,9718,1667,3,5.160671701855757,1.2986000219825655,393.1696999934502,768.5477464498869
1777164835,70,,Aggregated,55.700000,10.100000,3,3,3,4,4,10,32,65,200,390,390,9770,1679,3,5.149471555634411,1.2986000219825655,393.1696999934502,768.3135107471852
1777164836,70,,Aggregated,55.600000,9.600000,3,3,3,4,4,10,32,65,200,390,390,9830,1682,3,5.136211129052385,1.2986000219825655,393.1696999934502,768.8661241098678
1777164837,70,,Aggregated,55.500000,9.800000,3,3,3,4,4,10,32,65,200,390,390,9878,1691,3,5.1257997568840565,1.2986000219825655,393.1696999934502,768.806944725653
1777164838,70,,Aggregated,55.000000,9.800000,3,3,3,4,4,10,32,64,200,390,390,9938,1694,3,5.112495280593949,1.2986000219825655,393.1696999934502,769.3505735560475
1777164839,70,,Aggregated,55.600000,9.600000,3,3,3,4,4,10,31,64,200,390,390,9986,1700,3,5.10150099126277,1.2986000219825655,393.1696999934502,769.5129180853195
1777164840,70,,Aggregated,55.300000,9.300000,3,3,3,4,4,10,31,64,200,360,390,10048,1709,3,5.090370531338435,1.2986000219825655,393.1696999934502,769.6278861464968
1777164841,70,,Aggregated,54.800000,8.900000,3,3,3,4,4,10,31,63,200,360,390,10103,1722,3,5.077323032650156,1.2986000219825655,393.1696999934502,769.3597941205583
1777164842,70,,Aggregated,55.000000,8.500000,3,3,3,4,4,10,31,63,200,360,390,10161,1736,3,5.066252612824499,1.2986000219825655,393.1696999934502,769.0589508906604
1777164843,70,,Aggregated,55.300000,7.900000,3,3,3,4,4,10,31,62,200,360,390,10215,1745,3,5.0535654330834,1.2986000219825655,393.1696999934502,769.0753793441019
1777164844,70,,Aggregated,54.800000,8.100000,3,3,3,4,4,10,30,62,200,360,390,10272,1757,3,5.042074406038775,1.2986000219825655,393.1696999934502,768.9117017133956
1777164845,70,,Aggregated,55.200000,8.700000,3,3,3,4,4,10,30,62,200,360,390,10334,1770,3,5.029430210841623,1.2986000219825655,393.1696999934502,768.7395006773756
1777164846,70,,Aggregated,55.100000,8.800000,3,3,3,4,4,10,30,62,200,360,390,10387,1780,3,5.019026571578039,1.2986000219825655,393.1696999934502,768.6735342254741
1777164847,70,,Aggregated,55.200000,8.800000,3,3,3,4,4,10,30,62,200,360,390,10440,1785,3,5.007615612926394,1.2986000219825655,393.1696999934502,768.9640804597701
1777164848,70,,Aggregated,55.800000,9.200000,3,3,3,4,4,10,30,62,200,360,390,10497,1792,3,5.000599590257135,1.2986000219825655,393.1696999934502,769.1584262170144
1777164849,70,,Aggregated,54.900000,9.500000,3,3,3,4,4,10,29,61,200,360,390,10558,1800,3,4.988452197282943,1.2986000219825655,393.1696999934502,769.3282818715666
1777164850,70,,Aggregated,55.500000,9.500000,3,3,3,4,4,10,29,61,200,360,390,10610,1805,3,4.980117615360506,1.2986000219825655,393.1696999934502,769.5989632422243
1777164851,70,,Aggregated,55.400000,9.700000,3,3,3,4,4,10,29,61,200,360,390,10675,1818,3,4.967141807866141,1.2986000219825655,393.1696999934502,769.463793911007
1777164852,70,,Aggregated,56.500000,9.900000,3,3,3,4,4,10,29,61,200,360,390,10718,1822,3,4.960013491224821,1.2986000219825655,393.1696999934502,769.6941593580892
1777164853,70,,Aggregated,56.100000,9.600000,3,3,3,4,4,9,28,61,200,360,390,10782,1835,3,4.948379818128928,1.2986000219825655,393.1696999934502,769.5480430346875
1777164854,70,,Aggregated,57.100000,9.600000,3,3,3,4,4,9,28,60,200,360,390,10839,1845,3,4.939410988029118,1.2986000219825655,393.1696999934502,769.5275394409078
1777164855,70,,Aggregated,55.100000,8.600000,3,3,3,4,4,9,28,60,200,360,390,10889,1850,3,4.931554633042466,1.2986000219825655,393.1696999934502,769.7671044173019
1777164856,70,,Aggregated,55.900000,9.000000,3,3,3,4,4,9,28,60,200,360,390,10956,1855,3,4.918603121523229,1.2986000219825655,393.1696999934502,770.1999817451625
1777164857,70,,Aggregated,56.500000,8.700000,3,3,3,4,4,9,28,60,200,360,390,10997,1858,3,4.9114419841280395,1.2986000219825655,393.1696999934502,770.4663089933618
1777164858,70,,Aggregated,55.500000,7.900000,3,3,3,4,4,9,28,60,200,360,390,11062,1871,3,4.900736186891721,1.2986000219825655,393.1696999934502,770.3307720122943
1777164859,70,,Aggregated,56.900000,7.400000,3,3,3,4,4,9,28,60,200,360,390,11117,1884,3,4.889252514114312,1.2986000219825655,393.1696999934502,770.0836556624989
1777164860,70,,Aggregated,55.800000,7.300000,3,3,3,4,4,9,28,60,200,360,390,11174,1895,3,4.87848921597728,1.2986000219825655,393.1696999934502,769.9945408985144
1777164861,70,,Aggregated,56.600000,8.000000,3,3,3,4,4,9,28,59,200,360,390,11231,1905,3,4.868642231268917,1.2986000219825655,393.1696999934502,769.9724868667082
1777164862,70,,Aggregated,55.800000,8.500000,3,3,3,4,4,9,28,59,200,360,390,11291,1912,3,4.859889566857991,1.2986000219825655,393.1696999934502,770.1815605349393
1777164863,70,,Aggregated,56.300000,9.100000,3,3,3,4,4,9,28,58,200,360,390,11348,1920,3,4.849221545588999,1.2986000219825655,393.1696999934502,770.2897426859358
1777164864,70,,Aggregated,55.000000,8.800000,3,3,3,4,4,9,28,58,200,360,390,11403,1929,3,4.839023186824277,1.2986000219825655,393.1696999934502,770.3096553538543
1777164865,70,,Aggregated,57.300000,8.900000,3,3,3,4,4,9,28,58,200,360,390,11448,1934,3,4.831913259900801,1.2986000219825655,393.1696999934502,770.4792103424179
1777164866,70,,Aggregated,56.700000,8.300000,3,3,3,4,4,9,27,58,200,360,390,11509,1949,3,4.8211047527311015,1.2986000219825655,393.1696999934502,770.1761230341472
1777164867,70,,Aggregated,55.800000,8.300000,3,3,3,4,4,9,29,65,200,360,390,11563,1958,3,5.006418887748378,1.2986000219825655,393.1696999934502,770.1854190089077
1777164868,70,,Aggregated,55.200000,8.500000,3,3,3,4,4,9,29,64,200,360,390,11621,1963,3,4.995703751748288,1.2986000219825655,393.1696999934502,770.4936752430943
1777164869,70,,Aggregated,55.200000,9.600000,3,3,3,4,4,9,29,64,200,360,390,11677,1970,3,5.007900590816051,1.2986000219825655,393.1696999934502,770.6501669949473
1777164870,70,,Aggregated,56.300000,9.900000,3,3,3,4,4,9,29,64,200,360,390,11728,1974,3,5.003088139396432,1.2986000219825655,393.1696999934502,770.9418485675307
1777164871,70,,Aggregated,55.300000,9.100000,3,3,3,4,4,9,28,64,200,360,390,11790,1984,3,4.992104766658761,1.2986000219825655,393.1696999934502,770.9692960135708
1777164872,70,,Aggregated,55.600000,8.400000,3,3,3,4,4,9,28,63,200,360,390,11845,1990,3,4.984634284420689,1.2986000219825655,393.1696999934502,771.1734909244407
1777164873,70,,Aggregated,54.700000,7.700000,3,3,3,4,4,9,28,63,200,360,390,11895,1999,3,4.982161883051131,1.2986000219825655,393.1696999934502,771.1360235393022
1777164874,70,,Aggregated,56.000000,7.800000,3,3,3,4,4,9,28,62,200,360,390,11954,2001,3,4.971659134942575,1.2986000219825655,393.1696999934502,771.6279906307512
